PlayerId,Name,Age,Photo,Nationality,Flag,OverallRating,Potential,Club,ClubLogo,Value,Wage,InternationalReputation,Skill,JerseyNumber,ContractValidUntil,Height,Weight,NPassing,NBallControl,NAdjustedAgility,NStamina,NStrength,NPositioning,GKPenalties,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes,BestPosition,BestOverallRating,ReleaseClause
189125,G. Bonaventura,30,https://cdn.sofifa.com/players/189/125/20_60.png,Italy,https://cdn.sofifa.com/flags/it.png,80,80,Fiorentina,https://cdn.sofifa.com/teams/110374/light_30.png,13.5M,61K,3,4,5,2022,5'11,165lbs,82,85,73,76,61,78,68,10,14,7,15,14,CM,80,23M
216352,M. Brozovic,27,https://cdn.sofifa.com/players/216/352/20_60.png,Croatia,https://cdn.sofifa.com/flags/hr.png,84,85,Inter,https://cdn.sofifa.com/teams/44/light_30.png,32M,125K,2,3,77,2022,5'11,150lbs,83,85,66,94,69,70,69,8,8,15,11,8,CDM,84,55.2M
199914,Allan,29,https://cdn.sofifa.com/players/199/914/20_60.png,Brazil,https://cdn.sofifa.com/flags/br.png,83,83,Everton,https://cdn.sofifa.com/teams/7/light_30.png,25M,115K,2,4,6,2023,5'9,163lbs,82,83,75,92,78,79,53,13,13,5,5,8,CDM,85,47.5M
239053,F. Valverde,21,https://cdn.sofifa.com/players/239/053/20_60.png,Uruguay,https://cdn.sofifa.com/flags/uy.png,83,90,Real Madrid,https://cdn.sofifa.com/teams/243/light_30.png,36M,135K,1,3,15,2025,6'0,172lbs,83,82,82,86,79,76,59,6,10,6,15,8,CM,84,81M
139997,D. Srna,36,https://cdn.sofifa.com/players/139/997/19_60.png,Croatia,https://cdn.sofifa.com/flags/hr.png,78,78,Cagliari,https://cdn.sofifa.com/teams/1842/light_30.png,1.2M,20K,3,3,33,2019,5'10,172lbs,81,83,72,68,69,76,84,10,10,6,6,12,CM,80,2M
192638,Marcos Alonso,29,https://cdn.sofifa.com/players/192/638/20_60.png,Spain,https://cdn.sofifa.com/flags/es.png,81,81,Chelsea,https://cdn.sofifa.com/teams/5/light_30.png,14.5M,96K,2,3,3,2023,6'2,187lbs,77,83,65,91,76,77,64,9,7,13,9,12,LB,81,27.6M
210514,Joao Cancelo,26,https://cdn.sofifa.com/players/210/514/20_60.png,Portugal,https://cdn.sofifa.com/flags/pt.png,83,86,Manchester City,https://cdn.sofifa.com/teams/10/light_30.png,28M,140K,2,4,27,2025,6'0,163lbs,80,84,83,89,60,78,46,6,9,15,14,14,RWB,84,53.9M
209499,Fabinho,26,https://cdn.sofifa.com/players/209/499/20_60.png,Brazil,https://cdn.sofifa.com/flags/br.png,87,89,Liverpool,https://cdn.sofifa.com/teams/9/light_30.png,54.5M,155K,3,3,3,2023,6'2,172lbs,81,82,67,88,81,70,90,13,12,6,8,8,CDM,87,104.9M
221363,D. van de Beek,23,https://cdn.sofifa.com/players/221/363/20_60.png,Netherlands,https://cdn.sofifa.com/flags/nl.png,83,87,Manchester United,https://cdn.sofifa.com/teams/11/light_30.png,33M,125K,3,3,34,2025,6'0,163lbs,79,85,71,92,76,84,63,7,12,8,10,14,CM,85,65.2M
215914,N. Kantae,29,https://cdn.sofifa.com/players/215/914/20_60.png,France,https://cdn.sofifa.com/flags/fr.png,88,88,Chelsea,https://cdn.sofifa.com/teams/5/light_30.png,51M,190K,3,2,7,2023,5'6,154lbs,81,80,79,96,72,72,54,15,12,10,7,10,CDM,88,96.9M
138412,J. Milner,34,https://cdn.sofifa.com/players/138/412/20_60.png,England,https://cdn.sofifa.com/flags/gb-eng.png,80,80,Liverpool,https://cdn.sofifa.com/teams/9/light_30.png,7M,94K,2,3,7,2022,5'9,154lbs,81,80,62,87,70,72,89,12,9,10,8,6,CDM,81,13M
210008,A. Rabiot,25,https://cdn.sofifa.com/players/210/008/20_60.png,France,https://cdn.sofifa.com/flags/fr.png,81,82,Juventus,https://cdn.sofifa.com/teams/45/light_30.png,21M,83K,2,3,25,2024,6'4,176lbs,80,84,73,77,82,76,67,9,12,9,7,15,CM,82,36.2M
186345,K. Trippier,29,https://cdn.sofifa.com/players/186/345/20_60.png,England,https://cdn.sofifa.com/flags/gb-eng.png,83,83,Atlético Madrid,https://cdn.sofifa.com/teams/240/light_30.png,21.5M,71K,2,3,23,2022,5'8,157lbs,78,83,73,88,64,73,66,11,14,8,11,10,RB,83,44.1M
230658,Arthur,23,https://cdn.sofifa.com/players/230/658/20_60.png,Brazil,https://cdn.sofifa.com/flags/br.png,84,89,Juventus,https://cdn.sofifa.com/teams/45/light_30.png,41M,98K,2,4,5,2024,5'7,161lbs,86,89,71,76,68,75,69,6,13,13,11,12,CM,86,70.7M
186942,I. GandoÄŸan,29,https://cdn.sofifa.com/players/186/942/20_60.png,Germany,https://cdn.sofifa.com/flags/de.png,83,83,Manchester City,https://cdn.sofifa.com/teams/10/light_30.png,25M,160K,3,4,8,2023,5'11,176lbs,86,88,70,69,73,78,80,11,14,5,5,13,CM,83,46.3M
231969,R. Malinovskyi,27,https://cdn.sofifa.com/players/231/969/20_60.png,Ukraine,https://cdn.sofifa.com/flags/ua.png,79,80,Atalanta,https://cdn.sofifa.com/teams/39/light_30.png,14M,58K,1,4,18,2024,5'11,174lbs,81,82,67,81,79,70,83,6,6,12,15,13,CM,80,24.9M
211110,P. Dybala,26,https://cdn.sofifa.com/players/211/110/20_60.png,Argentina,https://cdn.sofifa.com/flags/ar.png,88,89,Juventus,https://cdn.sofifa.com/teams/45/light_30.png,71M,190K,3,4,10,2022,5'10,165lbs,84,94,88,78,60,85,86,5,4,4,5,8,CAM,89,122.5M
181458,I. PeriÅic,31,https://cdn.sofifa.com/players/181/458/20_60.png,Croatia,https://cdn.sofifa.com/flags/hr.png,82,82,Inter,https://cdn.sofifa.com/teams/44/light_30.png,19.5M,115K,3,4,14,2022,6'1,176lbs,77,79,78,81,76,85,76,6,7,10,9,6,LM,82,32.2M
220651,Angelino,23,https://cdn.sofifa.com/players/220/651/20_60.png,Spain,https://cdn.sofifa.com/flags/es.png,80,85,RB Leipzig,https://cdn.sofifa.com/teams/112172/light_30.png,17.5M,46K,2,4,3,30-Jun-21,5'9,152lbs,80,81,75,87,62,75,55,13,6,13,13,13,CM,81,
251573,Renan Lodi,22,https://cdn.sofifa.com/players/251/573/20_60.png,Brazil,https://cdn.sofifa.com/flags/br.png,81,87,Atlético Madrid,https://cdn.sofifa.com/teams/240/light_30.png,21.5M,49K,1,4,12,2025,5'8,150lbs,77,81,84,84,69,76,54,12,7,11,10,15,LB,81,48.4M
182521,T. Kroos,30,https://cdn.sofifa.com/players/182/521/20_60.png,Germany,https://cdn.sofifa.com/flags/de.png,88,88,Real Madrid,https://cdn.sofifa.com/teams/243/light_30.png,55M,310K,4,3,8,2023,6'0,168lbs,89,89,57,75,73,76,73,10,11,13,7,10,CM,88,112.8M
225375,K. Laimer,23,https://cdn.sofifa.com/players/225/375/20_60.png,Austria,https://cdn.sofifa.com/flags/at.png,82,86,RB Leipzig,https://cdn.sofifa.com/teams/112172/light_30.png,26M,53K,1,3,27,2023,5'11,159lbs,81,79,82,89,69,71,54,9,12,12,13,12,CDM,83,46.2M
231677,M. Rashford,22,https://cdn.sofifa.com/players/231/677/20_60.png,England,https://cdn.sofifa.com/flags/gb-eng.png,85,91,Manchester United,https://cdn.sofifa.com/teams/11/light_30.png,53M,150K,2,5,10,2023,6'1,154lbs,79,85,89,87,76,82,81,11,6,15,7,14,RM,86,111.3M
201519,J. Veretout,27,https://cdn.sofifa.com/players/201/519/20_60.png,France,https://cdn.sofifa.com/flags/fr.png,79,81,Roma,https://cdn.sofifa.com/teams/52/light_30.png,13.5M,500,1,3,17,2024,5'10,148lbs,81,82,67,77,70,73,84,9,10,11,8,9,CM,81,29.4M
156519,H. Herrera,30,https://cdn.sofifa.com/players/156/519/20_60.png,Mexico,https://cdn.sofifa.com/flags/mx.png,81,81,Atlético Madrid,https://cdn.sofifa.com/teams/240/light_30.png,16.5M,62K,3,3,16,2022,6'1,176lbs,78,78,71,94,78,82,67,6,10,15,7,16,CM,81,33.8M
227813,O. Zinchenko,23,https://cdn.sofifa.com/players/227/813/20_60.png,Ukraine,https://cdn.sofifa.com/flags/ua.png,80,85,Manchester City,https://cdn.sofifa.com/teams/10/light_30.png,17.5M,96K,1,3,11,2024,5'9,141lbs,80,82,75,76,63,75,59,15,11,13,11,11,CM,81,33.7M
164169,Filipe Lua­s,32,https://cdn.sofifa.com/players/164/169/19_60.png,Brazil,https://cdn.sofifa.com/flags/br.png,85,85,Atlético Madrid,https://cdn.sofifa.com/teams/240/light_30.png,21.5M,80K,3,3,3,2019,6'0,163lbs,78,83,75,89,73,71,65,11,15,9,9,5,LWB,83,44.1M
228618,F. Mendy,25,https://cdn.sofifa.com/players/228/618/20_60.png,France,https://cdn.sofifa.com/flags/fr.png,83,88,Real Madrid,https://cdn.sofifa.com/teams/243/light_30.png,30.5M,160K,1,4,23,2025,5'11,161lbs,79,78,88,88,79,80,49,7,16,9,10,9,LB,83,64.8M
135455,Maicon,33,https://cdn.sofifa.com/players/135/455/16_60.png,Brazil,https://cdn.sofifa.com/flags/br.png,77,77,Roma,https://cdn.sofifa.com/teams/52/light_30.png,2.9M,70K,3,2,13,2016,6'0,170lbs,77,80,74,70,78,78,66,10,5,8,9,14,RWB,77,
207410,M. KovaÄic,26,https://cdn.sofifa.com/players/207/410/20_60.png,Croatia,https://cdn.sofifa.com/flags/hr.png,83,86,Chelsea,https://cdn.sofifa.com/teams/5/light_30.png,31.5M,120K,3,4,17,2024,5'9,176lbs,87,89,79,79,63,72,59,9,5,6,7,7,CM,86,62.2M
204963,Carvajal,28,https://cdn.sofifa.com/players/204/963/20_60.png,Spain,https://cdn.sofifa.com/flags/es.png,86,86,Real Madrid,https://cdn.sofifa.com/teams/243/light_30.png,38M,230K,3,3,2,2022,5'8,161lbs,78,84,79,89,74,75,45,13,13,15,9,15,RB,86,77.9M
230938,F. Kessiae,23,https://cdn.sofifa.com/players/230/938/20_60.png,Ivory Coast,https://cdn.sofifa.com/flags/ci.png,77,82,Milan,https://cdn.sofifa.com/teams/47/light_30.png,11.5M,33K,2,3,79,2022,6'0,168lbs,77,79,70,92,85,74,82,9,11,12,12,10,CDM,81,20.4M
190875,J. Kucka,33,https://cdn.sofifa.com/players/190/875/20_60.png,Slovakia,https://cdn.sofifa.com/flags/sk.png,77,77,Parma,https://cdn.sofifa.com/teams/50/light_30.png,5M,33K,2,3,33,2022,6'1,185lbs,76,77,61,86,87,75,71,14,8,9,15,8,CB,79,9M
224232,N. Barella,23,https://cdn.sofifa.com/players/224/232/20_60.png,Italy,https://cdn.sofifa.com/flags/it.png,80,87,Inter,https://cdn.sofifa.com/teams/44/light_30.png,20.5M,86K,2,3,23,2024,5'9,150lbs,81,83,78,87,62,75,73,11,5,13,14,11,CM,82,37.9M
213565,T. Lemar,24,https://cdn.sofifa.com/players/213/565/20_60.png,France,https://cdn.sofifa.com/flags/fr.png,81,85,Atlético Madrid,https://cdn.sofifa.com/teams/240/light_30.png,23M,54K,3,4,11,2023,5'7,137lbs,80,85,83,74,54,77,68,11,15,13,7,14,CAM,84,48.9M
193352,R. Rodra­guez,27,https://cdn.sofifa.com/players/193/352/20_60.png,Switzerland,https://cdn.sofifa.com/flags/ch.png,78,78,Torino,https://cdn.sofifa.com/teams/54/light_30.png,9M,41K,3,3,13,2024,5'11,170lbs,75,76,71,75,74,64,80,14,13,14,14,11,LB,78,15.3M
216267,A. Robertson,26,https://cdn.sofifa.com/players/216/267/20_60.png,Scotland,https://cdn.sofifa.com/flags/gb-sct.png,87,89,Liverpool,https://cdn.sofifa.com/teams/9/light_30.png,53M,155K,3,3,26,2024,5'10,141lbs,79,82,81,95,65,77,55,11,8,10,7,14,LB,87,102M
188427,S. Lulic,34,https://cdn.sofifa.com/players/188/427/20_60.png,Bosnia Herzegovina,https://cdn.sofifa.com/flags/ba.png,78,78,Lazio,https://cdn.sofifa.com/teams/46/light_30.png,5M,56K,2,3,19,2021,6'0,172lbs,79,76,74,89,71,78,55,5,12,14,10,5,LM,78,8.5M
218667,Bernardo Silva,25,https://cdn.sofifa.com/players/218/667/20_60.png,Portugal,https://cdn.sofifa.com/flags/pt.png,87,88,Manchester City,https://cdn.sofifa.com/teams/10/light_30.png,60M,230K,2,4,20,2025,5'8,141lbs,85,92,86,93,54,85,68,9,10,14,12,9,RW,87,115.5M
235212,A. Hakimi,21,https://cdn.sofifa.com/players/235/212/20_60.png,Morocco,https://cdn.sofifa.com/flags/ma.png,83,88,Inter,https://cdn.sofifa.com/teams/44/light_30.png,35M,92K,1,3,98,2025,5'11,161lbs,79,83,88,86,73,75,46,10,8,14,6,8,RM,84,60.4M
186561,A. Ramsey,29,https://cdn.sofifa.com/players/186/561/20_60.png,Wales,https://cdn.sofifa.com/flags/gb-wls.png,82,82,Juventus,https://cdn.sofifa.com/teams/45/light_30.png,21.5M,98K,3,3,8,2023,6'0,168lbs,82,83,69,89,66,84,75,6,11,5,10,8,CM,82,35.5M
186832,K. Asamoah,31,https://cdn.sofifa.com/players/186/832/20_60.png,Ghana,https://cdn.sofifa.com/flags/gh.png,76,76,Inter,https://cdn.sofifa.com/teams/44/light_30.png,7M,74K,2,4,18,2021,5'8,165lbs,78,79,75,67,70,77,64,5,4,3,4,5,CDM,77,11.6M
198784,A. Oxlade-Chamberlain,26,https://cdn.sofifa.com/players/198/784/20_60.png,England,https://cdn.sofifa.com/flags/gb-eng.png,79,80,Liverpool,https://cdn.sofifa.com/teams/9/light_30.png,14.5M,89K,2,4,15,2023,5'9,154lbs,80,84,79,78,70,79,69,16,9,6,9,9,CAM,81,27.9M
232411,C. Nkunku,22,https://cdn.sofifa.com/players/232/411/20_60.png,France,https://cdn.sofifa.com/flags/fr.png,80,86,RB Leipzig,https://cdn.sofifa.com/teams/112172/light_30.png,20.5M,50K,1,4,18,2024,5'10,159lbs,82,84,80,74,63,78,65,5,6,10,15,7,CAM,82,39M
153079,S. Agaero,32,https://cdn.sofifa.com/players/153/079/20_60.png,Argentina,https://cdn.sofifa.com/flags/ar.png,89,89,Manchester City,https://cdn.sofifa.com/teams/10/light_30.png,53M,300K,4,4,10,2021,5'8,154lbs,78,89,80,78,74,94,75,13,15,6,11,14,ST,89,98.1M
146954,Gabi,33,https://cdn.sofifa.com/players/146/954/18_60.png,Spain,https://cdn.sofifa.com/flags/es.png,81,81,Atlético Madrid,https://cdn.sofifa.com/teams/240/light_30.png,10.5M,60K,3,2,14,2018,5'11,163lbs,80,79,67,76,69,72,83,6,12,10,5,10,CM,80,21.5M
231478,L. Marta­nez,22,https://cdn.sofifa.com/players/231/478/20_60.png,Argentina,https://cdn.sofifa.com/flags/ar.png,84,91,Inter,https://cdn.sofifa.com/teams/44/light_30.png,44.5M,130K,1,4,10,2023,5'9,179lbs,79,84,84,77,83,85,74,11,8,8,8,13,ST,86,82.3M
210665,M. Halstenberg,28,https://cdn.sofifa.com/players/210/665/20_60.png,Germany,https://cdn.sofifa.com/flags/de.png,82,82,RB Leipzig,https://cdn.sofifa.com/teams/112172/light_30.png,19M,64K,2,3,23,2022,6'2,192lbs,71,75,66,83,79,63,73,9,15,14,10,16,LB,82,32.3M
199304,Danilo,28,https://cdn.sofifa.com/players/199/304/20_60.png,Brazil,https://cdn.sofifa.com/flags/br.png,79,79,Juventus,https://cdn.sofifa.com/teams/45/light_30.png,11M,73K,2,3,13,2024,6'0,172lbs,74,79,68,75,73,72,67,14,5,15,14,5,RB,79,18.2M
203376,V. van Dijk,28,https://cdn.sofifa.com/players/203/376/20_60.png,Netherlands,https://cdn.sofifa.com/flags/nl.png,90,91,Liverpool,https://cdn.sofifa.com/teams/9/light_30.png,75.5M,210K,3,2,4,2023,6'4,203lbs,78,77,71,75,92,47,62,13,10,13,11,11,CB,90,145.3M
205498,Jorginho,28,https://cdn.sofifa.com/players/205/498/20_60.png,Italy,https://cdn.sofifa.com/flags/it.png,83,83,Chelsea,https://cdn.sofifa.com/teams/5/light_30.png,25.5M,125K,2,3,5,2023,5'11,150lbs,85,85,63,85,66,68,91,14,7,13,14,8,CM,83,48.5M
189177,J. Fleck,28,https://cdn.sofifa.com/players/189/177/20_60.png,Scotland,https://cdn.sofifa.com/flags/gb-sct.png,77,77,Sheffield United,https://cdn.sofifa.com/teams/1794/light_30.png,9M,38K,1,3,4,2023,5'7,159lbs,78,76,74,86,66,68,60,7,8,7,13,6,CM,77,17.1M
202652,R. Sterling,25,https://cdn.sofifa.com/players/202/652/20_60.png,England,https://cdn.sofifa.com/flags/gb-eng.png,88,90,Manchester City,https://cdn.sofifa.com/teams/10/light_30.png,72.5M,270K,3,4,7,2023,5'7,152lbs,81,88,93,79,65,92,69,15,12,12,15,9,LW,88,139.6M
165153,K. Benzema,32,https://cdn.sofifa.com/players/165/153/20_60.png,France,https://cdn.sofifa.com/flags/fr.png,89,89,Real Madrid,https://cdn.sofifa.com/teams/243/light_30.png,53M,350K,4,4,9,2022,6'1,179lbs,82,90,76,78,80,90,84,13,11,5,5,7,CF,89,108.7M
