MatchId,Division,Date,Time,HomeTeam,AwayTeam,FullTimeGoalsH,FullTimeGoalsA,HalfTimeGoalsH,HalfTimeGoalsA,ShotsH,ShotsA,ShotsOnTargetH,ShotsOnTargetA,FoulsH,FoulsA,CornersH,CornersA,YellowCardsH,YellowCardsA,RedCardsH,RedCardsA
45,D1,9/27/2019,19:30,Union Berlin,Ein Frankfurt,1,2,0,0,12,14,5,6,11,12,4,5,1,1,0,0
46,D1,9/28/2019,14:30,Augsburg,Leverkusen,0,3,0,1,8,11,1,5,16,9,1,3,4,0,0,0
47,D1,9/28/2019,14:30,Hoffenheim,M'gladbach,0,3,0,1,17,11,4,5,10,11,2,5,2,2,0,0
48,D1,9/28/2019,14:30,Mainz,Wolfsburg,0,1,0,1,15,4,5,3,9,15,10,1,2,3,0,0
49,D1,9/28/2019,14:30,Paderborn,Bayern Munich,2,3,0,1,10,18,5,6,7,6,11,5,1,1,0,0
50,D1,9/28/2019,14:30,RB Leipzig,Schalke 04,1,3,0,2,17,13,6,8,13,11,8,4,1,1,0,0
51,D1,9/28/2019,17:30,Dortmund,Werder Bremen,2,2,2,1,19,11,7,5,8,10,9,2,1,0,0,0
52,D1,9/29/2019,14:30,Fortuna Dusseldorf,Freiburg,1,2,1,1,17,9,7,3,9,9,5,1,2,2,0,0
53,D1,9/29/2019,17:00,FC Koln,Hertha,0,4,0,1,8,10,3,6,11,13,8,4,1,0,1,0
54,D1,10/4/2019,19:30,Hertha,Fortuna Dusseldorf,3,1,2,1,16,9,3,3,17,18,9,2,3,3,0,0
55,D1,10/5/2019,14:30,Bayern Munich,Hoffenheim,1,2,0,0,20,8,4,5,8,12,9,3,2,0,0,0
56,D1,10/5/2019,14:30,Freiburg,Dortmund,2,2,0,1,6,8,1,4,10,8,3,11,0,3,0,0
57,D1,10/5/2019,14:30,Leverkusen,RB Leipzig,1,1,0,0,11,11,8,5,11,12,4,0,2,2,0,0
58,D1,10/5/2019,14:30,Paderborn,Mainz,1,2,1,2,16,18,7,7,8,18,7,10,1,4,0,0
59,D1,10/5/2019,17:30,Schalke 04,FC Koln,1,1,0,0,15,9,3,5,15,15,6,4,4,4,0,0
60,D1,10/6/2019,12:30,M'gladbach,Augsburg,5,1,4,0,13,13,9,3,9,9,2,7,1,2,0,0
61,D1,10/6/2019,14:30,Wolfsburg,Union Berlin,1,0,0,0,13,14,4,3,17,15,5,4,2,2,0,0
62,D1,10/6/2019,17:00,Ein Frankfurt,Werder Bremen,2,2,0,1,24,11,7,5,12,8,10,1,2,1,0,0
63,D1,10/18/2019,19:30,Ein Frankfurt,Leverkusen,3,0,2,0,10,19,5,10,11,12,4,1,1,1,0,0
64,D1,10/19/2019,14:30,Augsburg,Bayern Munich,2,2,1,1,9,24,7,9,10,6,3,7,3,3,0,0
65,D1,10/19/2019,14:30,Fortuna Dusseldorf,Mainz,1,0,0,0,20,7,4,1,10,17,8,1,2,4,0,1
66,D1,10/19/2019,14:30,RB Leipzig,Wolfsburg,1,1,0,0,13,14,5,6,10,9,3,3,1,3,0,0
67,D1,10/19/2019,14:30,Union Berlin,Freiburg,2,0,1,0,18,12,5,4,21,13,3,4,3,0,0,0
68,D1,10/19/2019,14:30,Werder Bremen,Hertha,1,1,1,0,15,11,5,2,8,11,7,5,1,1,0,0
69,D1,10/19/2019,17:30,Dortmund,M'gladbach,1,0,0,0,20,13,7,3,13,15,10,8,1,2,0,0
70,D1,10/20/2019,14:30,FC Koln,Paderborn,3,0,1,0,16,9,6,1,6,7,6,9,0,0,0,0
71,D1,10/20/2019,17:00,Hoffenheim,Schalke 04,2,0,0,0,9,11,3,1,12,14,3,8,2,2,0,0
72,D1,10/25/2019,19:30,Mainz,FC Koln,3,1,1,1,18,16,6,8,20,9,5,10,2,2,0,0
73,D1,10/26/2019,14:30,Bayern Munich,Union Berlin,2,1,1,0,21,6,10,4,9,15,8,2,0,1,0,0
74,D1,10/26/2019,14:30,Freiburg,RB Leipzig,2,1,1,0,14,25,3,6,10,9,5,4,3,1,0,0
75,D1,10/26/2019,14:30,Hertha,Hoffenheim,2,3,0,2,13,17,4,8,17,12,4,4,3,3,1,0
76,D1,10/26/2019,14:30,Paderborn,Fortuna Dusseldorf,2,0,1,0,14,18,6,4,21,17,4,7,5,4,0,0
77,D1,10/26/2019,14:30,Schalke 04,Dortmund,0,0,0,0,13,8,3,3,8,7,8,2,3,2,0,0
78,D1,10/26/2019,17:30,Leverkusen,Werder Bremen,2,2,1,1,21,10,4,3,12,13,10,1,2,1,0,0
79,D1,10/27/2019,14:30,Wolfsburg,Augsburg,0,0,0,0,14,10,3,5,12,13,5,3,0,0,0,0
80,D1,10/27/2019,17:00,M'gladbach,Ein Frankfurt,4,2,2,0,12,15,7,3,12,11,5,6,1,1,0,0
81,D1,11/1/2019,19:30,Hoffenheim,Paderborn,3,0,3,0,12,9,7,2,7,12,4,4,0,1,0,0
82,D1,11/2/2019,14:30,Dortmund,Wolfsburg,3,0,0,0,17,12,8,3,12,18,7,2,1,3,0,0
83,D1,11/2/2019,14:30,Ein Frankfurt,Bayern Munich,5,1,2,1,17,7,11,3,12,7,3,0,1,2,0,1
84,D1,11/2/2019,14:30,Leverkusen,M'gladbach,1,2,1,2,23,11,6,6,13,8,13,0,2,1,1,0
85,D1,11/2/2019,14:30,RB Leipzig,Mainz,8,0,5,0,19,10,12,2,10,7,3,4,0,1,0,0
86,D1,11/2/2019,14:30,Werder Bremen,Freiburg,2,2,1,1,20,13,10,3,17,9,5,0,3,4,0,1
87,D1,11/2/2019,17:30,Union Berlin,Hertha,1,0,0,0,16,8,6,3,14,9,1,4,1,1,0,0
88,D1,11/3/2019,14:30,Fortuna Dusseldorf,FC Koln,2,0,1,0,9,8,3,1,10,20,3,4,1,3,0,0
89,D1,11/3/2019,17:00,Augsburg,Schalke 04,2,3,1,1,12,11,4,3,12,10,1,6,3,5,0,0
90,D1,11/8/2019,19:30,FC Koln,Hoffenheim,1,2,1,0,11,15,3,5,21,14,5,7,4,3,0,0
91,D1,11/9/2019,14:30,Hertha,RB Leipzig,2,4,1,2,7,10,3,7,12,12,0,5,2,1,0,0
92,D1,11/9/2019,14:30,Mainz,Union Berlin,2,3,0,2,18,14,5,4,15,15,3,2,1,4,0,0
93,D1,11/9/2019,14:30,Paderborn,Augsburg,0,1,0,1,12,13,4,5,15,12,5,7,1,3,0,0
94,D1,11/9/2019,14:30,Schalke 04,Fortuna Dusseldorf,3,3,1,0,12,9,5,5,9,15,2,4,2,4,0,0
95,D1,11/9/2019,17:30,Bayern Munich,Dortmund,4,0,1,0,17,2,5,0,11,12,2,1,2,1,0,0
96,D1,11/10/2019,12:30,M'gladbach,Werder Bremen,3,1,2,0,17,16,7,7,17,11,3,8,5,4,1,0
97,D1,11/10/2019,14:30,Wolfsburg,Leverkusen,0,2,0,1,9,9,1,4,8,9,9,0,2,2,0,0
98,D1,11/10/2019,17:00,Freiburg,Ein Frankfurt,1,0,0,0,13,17,7,6,7,13,8,10,1,3,1,2
99,D1,11/22/2019,19:30,Dortmund,Paderborn,3,3,0,3,18,10,7,4,8,7,10,2,3,1,0,0
100,D1,11/23/2019,14:30,Ein Frankfurt,Wolfsburg,0,2,0,1,17,9,9,6,13,22,12,1,3,5,0,1
101,D1,11/23/2019,14:30,Fortuna Dusseldorf,Bayern Munich,0,4,0,3,12,18,1,5,8,6,8,6,1,1,0,0
102,D1,11/23/2019,14:30,Leverkusen,Freiburg,1,1,1,1,27,7,9,2,9,14,13,3,0,3,0,0
103,D1,11/23/2019,14:30,Union Berlin,M'gladbach,2,0,1,0,11,12,6,2,12,7,2,6,1,1,0,0
104,D1,11/23/2019,14:30,Werder Bremen,Schalke 04,1,2,0,1,16,10,5,5,12,15,1,3,3,2,0,0
105,D1,11/23/2019,17:30,RB Leipzig,FC Koln,4,1,3,1,20,6,8,1,9,15,13,3,0,3,0,0
106,D1,11/24/2019,14:30,Augsburg,Hertha,4,0,2,0,14,5,5,1,8,18,3,3,0,2,0,1
107,D1,11/24/2019,17:00,Hoffenheim,Mainz,1,5,0,1,22,11,8,5,10,13,14,3,1,3,0,1
108,D1,11/29/2019,19:30,Schalke 04,Union Berlin,2,1,1,1,17,17,8,7,12,13,7,4,1,4,0,0
109,D1,11/30/2019,14:30,FC Koln,Augsburg,1,1,0,1,13,11,6,4,15,17,4,8,8,3,1,1
110,D1,11/30/2019,14:30,Hertha,Dortmund,1,2,1,2,13,7,3,5,13,8,2,2,3,2,0,1
111,D1,11/30/2019,14:30,Hoffenheim,Fortuna Dusseldorf,1,1,1,0,12,11,6,3,11,16,2,5,2,4,0,0
112,D1,11/30/2019,14:30,Paderborn,RB Leipzig,2,3,0,3,8,18,4,6,10,13,6,6,3,3,0,0
113,D1,11/30/2019,17:30,Bayern Munich,Leverkusen,1,2,1,2,24,11,11,7,9,16,8,2,1,3,0,1
114,D1,12/1/2019,14:30,M'gladbach,Freiburg,4,2,1,1,22,13,13,5,13,15,2,3,3,2,0,0
115,D1,12/1/2019,17:00,Wolfsburg,Werder Bremen,2,3,1,2,19,10,6,3,14,14,9,3,1,4,0,0
116,D1,12/2/2019,19:30,Mainz,Ein Frankfurt,2,1,0,1,18,14,8,4,13,10,8,6,1,2,0,1
117,D1,12/6/2019,19:30,Ein Frankfurt,Hertha,2,2,0,1,25,9,6,3,11,15,16,1,3,4,0,0
118,D1,12/7/2019,14:30,Augsburg,Mainz,2,1,1,1,18,12,5,3,13,14,8,2,2,2,0,0
119,D1,12/7/2019,14:30,Dortmund,Fortuna Dusseldorf,5,0,1,0,23,2,10,0,8,10,6,0,0,3,0,0
120,D1,12/7/2019,14:30,Freiburg,Wolfsburg,1,0,0,0,10,10,3,0,13,20,2,7,0,2,0,0
121,D1,12/7/2019,14:30,M'gladbach,Bayern Munich,2,1,0,0,7,17,3,5,12,17,2,5,3,5,0,1
122,D1,12/7/2019,14:30,RB Leipzig,Hoffenheim,3,1,1,0,25,11,14,1,14,5,8,6,3,1,0,0
123,D1,12/7/2019,17:30,Leverkusen,Schalke 04,2,1,1,0,19,5,9,3,11,11,9,0,2,2,0,0
124,D1,12/8/2019,14:30,Union Berlin,FC Koln,2,0,1,0,11,14,5,4,21,19,3,5,1,3,0,0
125,D1,12/8/2019,17:00,Werder Bremen,Paderborn,0,1,0,0,12,18,3,5,10,13,13,6,1,4,0,0
126,D1,12/13/2019,19:30,Hoffenheim,Augsburg,2,4,1,1,19,6,8,4,10,7,11,1,1,0,0,0
127,D1,12/14/2019,14:30,Bayern Munich,Werder Bremen,6,1,2,1,29,11,14,2,13,12,8,2,2,2,0,0
128,D1,12/14/2019,14:30,FC Koln,Leverkusen,2,0,0,0,13,6,5,2,12,9,3,4,2,3,0,2
129,D1,12/14/2019,14:30,Hertha,Freiburg,1,0,0,0,14,15,4,2,9,5,4,7,2,0,0,0
130,D1,12/14/2019,14:30,Mainz,Dortmund,0,4,0,1,9,18,0,7,8,10,3,5,1,0,0,0
131,D1,12/14/2019,14:30,Paderborn,Union Berlin,1,1,1,1,14,15,3,2,19,16,2,3,2,4,0,0
132,D1,12/14/2019,17:30,Fortuna Dusseldorf,RB Leipzig,0,3,0,1,4,21,1,7,11,7,3,9,2,1,0,0
133,D1,12/15/2019,14:30,Wolfsburg,M'gladbach,2,1,1,1,17,6,7,5,20,15,5,2,3,3,0,0
134,D1,12/15/2019,17:00,Schalke 04,Ein Frankfurt,1,0,0,0,11,17,5,3,15,12,7,6,1,4,1,0
135,D1,12/17/2019,17:30,Werder Bremen,Mainz,0,5,0,4,15,19,5,8,13,13,8,5,2,2,0,0
136,D1,12/17/2019,19:30,Augsburg,Fortuna Dusseldorf,3,0,1,0,12,6,7,2,10,15,4,2,3,4,0,0
137,D1,12/17/2019,19:30,Dortmund,RB Leipzig,3,3,2,0,14,12,6,8,9,5,12,3,0,0,0,0
138,D1,12/17/2019,19:30,Union Berlin,Hoffenheim,0,2,0,0,16,7,2,4,16,13,6,1,2,6,0,0
139,D1,12/18/2019,17:30,Leverkusen,Hertha,0,1,0,0,17,10,7,5,12,16,5,4,2,3,0,0
140,D1,12/18/2019,19:30,Ein Frankfurt,FC Koln,2,4,2,1,17,21,6,9,12,10,7,10,2,4,0,0
141,D1,12/18/2019,19:30,Freiburg,Bayern Munich,1,3,0,1,15,22,5,10,5,8,6,8,0,3,0,0
142,D1,12/18/2019,19:30,M'gladbach,Paderborn,2,0,0,0,17,12,6,2,6,14,8,4,2,3,0,0
143,D1,12/18/2019,19:30,Wolfsburg,Schalke 04,1,1,0,0,29,8,11,2,13,11,12,5,1,1,0,0
144,D1,12/20/2019,19:30,Hoffenheim,Dortmund,2,1,0,1,11,12,3,5,8,12,0,8,0,1,0,0
145,D1,12/21/2019,14:30,Bayern Munich,Wolfsburg,2,0,0,0,18,10,8,3,7,7,12,6,2,2,0,0
146,D1,12/21/2019,14:30,FC Koln,Werder Bremen,1,0,1,0,7,6,1,1,11,18,1,7,1,4,0,0
147,D1,12/21/2019,14:30,Mainz,Leverkusen,0,1,0,0,17,14,2,4,8,8,6,6,0,2,0,1
148,D1,12/21/2019,14:30,RB Leipzig,Augsburg,3,1,0,1,22,6,7,2,7,9,10,4,1,3,0,0
149,D1,12/21/2019,14:30,Schalke 04,Freiburg,2,2,1,0,19,19,6,7,9,12,7,5,1,1,0,0
150,D1,12/21/2019,17:30,Hertha,M'gladbach,0,0,0,0,8,11,0,5,11,11,1,7,2,2,0,0
151,D1,12/22/2019,14:30,Fortuna Dusseldorf,Union Berlin,2,1,1,0,22,17,8,6,8,18,7,5,2,4,0,0
152,D1,12/22/2019,17:00,Paderborn,Ein Frankfurt,2,1,2,0,19,20,5,5,11,11,3,8,3,2,0,0
153,D1,1/17/2020,19:30,Schalke 04,M'gladbach,2,0,0,0,13,14,7,5,13,17,8,8,3,4,0,0
154,D1,1/18/2020,14:30,Augsburg,Dortmund,3,5,1,0,13,17,5,8,4,5,2,6,0,1,0,0
155,D1,1/18/2020,14:30,FC Koln,Wolfsburg,3,1,2,0,12,17,7,8,11,18,8,5,3,3,0,0
156,D1,1/18/2020,14:30,Fortuna Dusseldorf,Werder Bremen,0,1,0,0,17,13,2,4,16,12,6,4,4,5,0,1
157,D1,1/18/2020,14:30,Hoffenheim,Ein Frankfurt,1,2,0,1,12,13,5,3,10,13,8,6,2,2,0,0
158,D1,1/18/2020,14:30,Mainz,Freiburg,1,2,0,2,24,13,8,5,15,10,7,5,4,2,0,0
159,D1,1/18/2020,17:30,RB Leipzig,Union Berlin,3,1,0,1,19,15,8,5,6,18,4,4,1,3,0,0
160,D1,1/19/2020,14:30,Hertha,Bayern Munich,0,4,0,0,6,20,1,10,7,14,0,4,3,1,0,0
161,D1,1/19/2020,17:00,Paderborn,Leverkusen,1,4,0,3,13,12,7,7,8,12,6,4,4,1,0,0
162,D1,1/24/2020,19:30,Dortmund,FC Koln,5,1,2,0,14,11,9,5,6,7,1,3,1,1,0,0
163,D1,1/25/2020,14:30,Ein Frankfurt,RB Leipzig,2,0,0,0,7,22,5,4,8,10,4,6,1,2,0,0
164,D1,1/25/2020,14:30,Freiburg,Paderborn,0,2,0,0,19,15,5,3,11,7,6,6,4,4,0,1
165,D1,1/25/2020,14:30,M'gladbach,Mainz,3,1,1,1,15,12,5,9,7,14,6,3,2,3,0,0
166,D1,1/25/2020,14:30,Union Berlin,Augsburg,2,0,0,0,12,25,3,7,18,9,4,5,4,1,0,0
167,D1,1/25/2020,14:30,Wolfsburg,Hertha,1,2,0,0,20,9,7,4,8,8,9,4,0,1,0,0
168,D1,1/25/2020,17:30,Bayern Munich,Schalke 04,5,0,2,0,24,7,14,1,3,4,9,2,0,0,0,0
169,D1,1/26/2020,14:30,Werder Bremen,Hoffenheim,0,3,0,0,16,9,3,4,14,15,7,4,2,2,0,0
170,D1,1/26/2020,17:00,Leverkusen,Fortuna Dusseldorf,3,0,1,0,25,12,11,3,11,10,8,5,0,3,0,0
171,D1,1/31/2020,19:30,Hertha,Schalke 04,0,0,0,0,9,13,0,5,9,9,3,7,1,1,0,0
172,D1,2/1/2020,14:30,Augsburg,Werder Bremen,2,1,0,1,14,7,4,1,8,17,5,3,2,5,0,0
173,D1,2/1/2020,14:30,Dortmund,Union Berlin,5,0,2,0,13,5,7,0,7,8,5,3,0,1,0,0
174,D1,2/1/2020,14:30,Fortuna Dusseldorf,Ein Frankfurt,1,1,0,0,8,6,1,4,6,12,4,4,2,1,0,0
175,D1,2/1/2020,14:30,Hoffenheim,Leverkusen,2,1,1,1,14,22,6,11,8,10,4,10,3,3,0,1
176,D1,2/1/2020,14:30,Mainz,Bayern Munich,1,3,1,3,8,13,3,5,12,9,6,4,3,1,0,0
177,D1,2/1/2020,17:30,RB Leipzig,M'gladbach,2,2,0,2,18,7,8,4,12,13,4,4,1,6,0,1
178,D1,2/2/2020,14:30,FC Koln,Freiburg,4,0,1,0,24,9,9,2,13,9,10,6,3,1,0,0
179,D1,2/2/2020,17:00,Paderborn,Wolfsburg,2,4,1,2,10,9,7,5,15,17,3,7,3,3,1,0
180,D1,2/7/2020,19:30,Ein Frankfurt,Augsburg,5,0,1,0,13,8,9,5,7,5,1,4,1,0,0,0
181,D1,2/8/2020,14:30,Freiburg,Hoffenheim,1,0,1,0,12,21,6,6,10,13,5,10,3,3,0,0
182,D1,2/8/2020,14:30,Hertha,Mainz,1,3,0,1,13,10,3,3,13,16,10,1,4,1,1,0
183,D1,2/8/2020,14:30,Schalke 04,Paderborn,1,1,0,0,15,15,4,4,6,8,11,10,2,3,0,0
184,D1,2/8/2020,14:30,Werder Bremen,Union Berlin,0,2,0,0,14,11,3,5,7,16,5,5,4,3,0,0
185,D1,2/8/2020,14:30,Wolfsburg,Fortuna Dusseldorf,1,1,0,1,9,10,5,2,10,14,3,5,0,1,1,0
186,D1,2/8/2020,17:30,Leverkusen,Dortmund,4,3,2,2,9,12,5,6,9,10,3,7,2,1,0,0
187,D1,2/9/2020,17:00,Bayern Munich,RB Leipzig,0,0,0,0,10,8,3,1,8,12,11,3,2,2,0,0
188,D1,2/14/2020,19:30,Dortmund,Ein Frankfurt,4,0,1,0,17,1,7,0,7,3,5,0,0,1,0,0
189,D1,2/15/2020,14:30,Augsburg,Freiburg,1,1,1,0,10,20,3,5,19,5,0,3,4,1,0,0
190,D1,2/15/2020,14:30,Hoffenheim,Wolfsburg,2,3,1,1,14,15,6,6,7,12,4,4,2,2,0,0
191,D1,2/15/2020,14:30,Paderborn,Hertha,1,2,0,1,20,17,4,6,14,12,5,8,2,2,0,0
192,D1,2/15/2020,14:30,RB Leipzig,Werder Bremen,3,0,2,0,10,8,3,1,10,12,8,1,1,1,0,0
193,D1,2/15/2020,14:30,Union Berlin,Leverkusen,2,3,1,1,20,12,7,5,9,12,6,4,2,2,0,0
194,D1,2/15/2020,17:30,Fortuna Dusseldorf,M'gladbach,1,4,1,1,9,17,4,6,10,10,2,5,2,2,0,0
195,D1,2/16/2020,14:30,FC Koln,Bayern Munich,1,4,0,3,13,26,6,8,12,10,1,6,1,3,0,0
196,D1,2/16/2020,17:00,Mainz,Schalke 04,0,0,0,0,15,8,5,3,7,11,3,6,2,2,0,0
197,D1,2/21/2020,19:30,Bayern Munich,Paderborn,3,2,1,1,18,5,9,4,3,9,11,1,1,3,0,0
198,D1,2/22/2020,14:30,Freiburg,Fortuna Dusseldorf,0,2,0,1,15,9,4,4,13,10,7,4,1,4,0,0
199,D1,2/22/2020,14:30,Hertha,FC Koln,0,5,0,3,9,17,1,11,12,10,5,3,2,2,0,0
200,D1,2/22/2020,14:30,M'gladbach,Hoffenheim,1,1,1,0,17,22,10,4,8,8,8,8,4,4,0,0
201,D1,2/22/2020,14:30,Werder Bremen,Dortmund,0,2,0,0,8,12,2,6,13,8,2,6,0,0,0,0
202,D1,2/22/2020,17:30,Schalke 04,RB Leipzig,0,5,0,1,3,22,2,8,10,7,2,5,2,3,0,0
203,D1,2/23/2020,14:30,Leverkusen,Augsburg,2,0,1,0,9,8,4,3,8,12,2,3,2,4,0,0
204,D1,2/23/2020,17:00,Wolfsburg,Mainz,4,0,2,0,16,13,6,3,10,12,4,14,0,2,0,0
205,D1,2/24/2020,19:30,Ein Frankfurt,Union Berlin,1,2,0,0,21,11,3,7,10,15,14,6,3,4,0,0
206,D1,2/28/2020,19:30,Fortuna Dusseldorf,Hertha,3,3,3,0,14,16,5,7,11,11,3,5,2,2,0,0
207,D1,2/29/2020,14:30,Augsburg,M'gladbach,2,3,0,0,8,15,3,7,11,6,5,3,3,2,0,0
208,D1,2/29/2020,14:30,Dortmund,Freiburg,1,0,1,0,16,13,2,4,5,9,6,4,1,0,0,0
209,D1,2/29/2020,14:30,Hoffenheim,Bayern Munich,0,6,0,4,4,25,1,11,3,7,1,7,0,0,0,0
210,D1,2/29/2020,14:30,Mainz,Paderborn,2,0,2,0,8,9,3,4,5,15,5,8,1,3,0,0
211,D1,2/29/2020,17:30,FC Koln,Schalke 04,3,0,2,0,11,7,6,1,7,8,4,2,1,2,0,0
212,D1,3/1/2020,12:30,Union Berlin,Wolfsburg,2,2,1,0,6,14,3,3,8,13,1,6,1,2,0,0
213,D1,3/1/2020,14:30,RB Leipzig,Leverkusen,1,1,1,1,9,14,2,6,4,12,8,5,0,3,0,0
214,D1,3/6/2020,19:00,Paderborn,FC Koln,1,2,0,2,16,15,2,3,8,12,5,9,3,4,0,0
215,D1,3/7/2020,14:30,Freiburg,Union Berlin,3,1,1,0,9,14,4,4,5,20,7,2,2,3,0,1
216,D1,3/7/2020,14:30,Hertha,Werder Bremen,2,2,1,2,19,7,5,3,16,5,3,1,3,3,0,0
217,D1,3/7/2020,14:30,Leverkusen,Ein Frankfurt,4,0,2,0,14,9,5,3,10,12,1,3,1,0,0,0
